Line,From Fundamental Accounting Concept,Type of Relation (Arcrole),To IFRS XBRL Taxonomy Concept,Try Order
25,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfMerchandiseSalesBuyingAndOccupancyCosts,17
26,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfServicesExcludingDepreciationDepletionAndAmortization,18
27,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfServicesOilAndGas,19
28,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSoldDirectMaterials,20
29,fac:CostOfRevenue,class-equivalentClass,us-gaap:ExplorationExpenseMining,21
30,fac:CostOfRevenue,class-equivalentClass,us-gaap:DirectCostsOfHotels,22
31,fac:CostOfRevenue,class-equivalentClass,us-gaap:TechnologyServicesCosts,23
32,fac:CostOfRevenueGoods,class-equivalentClass,us-gaap:CostOfGoodsSold,1
33,fac:CostOfRevenueServices,class-equivalentClass,us-gaap:CostOfServices,1
34,fac:CostsAndExpenses,class-equivalentClass,us-gaap:CostsAndExpenses,1
35,fac:CostsAndExpenses,class-equivalentClass,us-gaap:BenefitsLossesAndExpenses,2
36,fac:CurrentAssets,class-equivalentClass,us-gaap:AssetsCurrent,1
37,fac:CurrentLiabilities,class-equivalentClass,us-gaap:LiabilitiesCurrent,1
38,fac:DocumentType,class-equivalentClass,dei:DocumentType,1
39,fac:EntityCentralIndexKey,class-equivalentClass,dei:EntityCentralIndexKey,1
40,fac:EntityFilerCategory,class-equivalentClass,dei:EntityFilerCategory,1
41,fac:EntityRegistrantName,class-equivalentClass,dei:EntityRegistrantName,1
42,fac:Equity,class-equivalentClass,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1
43,fac:Equity,class-equivalentClass,us-gaap:PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,2
44,fac:Equity,class-equivalentClass,us-gaap:LimitedLiabilityCompanyLlcMembersEquityIncludingPortionAttributableToNoncontrollingInterest,3
45,fac:EquityAttributableToNoncontrollingInterest,class-equivalentClass,us-gaap:MinorityInterest,1
46,fac:EquityAttributableToNoncontrollingInterest,class-equivalentClass,us-gaap:PartnersCapitalAttributableToNoncontrollingInterest,2
47,fac:EquityAttributableToNoncontrollingInterest,class-equivalentClass,us-gaap:MembersEquityAttributableToNoncontrollingInterest,3
48,fac:EquityAttributableToParent,class-equivalentClass,us-gaap:StockholdersEquity,1
49,fac:EquityAttributableToParent,class-equivalentClass,us-gaap:PartnersCapital,2
50,fac:EquityAttributableToParent,class-equivalentClass,us-gaap:MembersEquity,3
51,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCashAndCashEquivalents,1
52,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCash,2
53,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,3
54,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCashContinuingOperations,4
55,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,5
56,fac:ExchangeGainsLosses,class-equivalentClass,us-gaap:EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,6
57,fac:ExciseAndSalesTaxes,class-equivalentClass,us-gaap:ExciseAndSalesTaxes,1
58,fac:FiscalPeriodFocus,class-equivalentClass,dei:DocumentFiscalPeriodFocus,1
59,fac:FiscalYearEnd,class-equivalentClass,dei:CurrentFiscalYearEndDate,1
60,fac:FiscalYearFocus,class-equivalentClass,dei:DocumentFiscalYearFocus,1
61,fac:FixedAssets,class-equivalentClass,us-gaap:PropertyPlantAndEquipmentNet,1
62,fac:FixedAssets,class-equivalentClass,us-gaap:PublicUtilitiesPropertyPlantAndEquipmentNet,2
63,fac:GainLossOnSalePropertiesNetTax,class-equivalentClass,us-gaap:GainLossOnSaleOfPropertiesNetOfApplicableIncomeTaxes,1
64,fac:GrossProfit,class-equivalentClass,us-gaap:GrossProfit,1
65,fac:IncomeLossBeforeEquityMethodInvestments,class-equivalentClass,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1
66,fac:IncomeLossFromContinuingOperationsAfterTax,class-equivalentClass,us-gaap:IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1
